@RELATION Timestamps

@ATTRIBUTE Date      DATE "dd.MM.yyyy"
@ATTRIBUTE Sunrise   DATE "HH:mm"
@ATTRIBUTE Sunset    DATE "HH:mm"
@ATTRIBUTE Daylength DATE "HH:mm"

@DATA
"1.5.2022","05:52","20:26","14:33"
"2.5.2022","05:50","20:27","14:37"
"3.5.2022","05:48","20:29","14:40"
"4.5.2022","05:47","20:30","14:43"
"5.5.2022","05:45","20:31","14:46"
"6.5.2022","05:44","20:33","14:49"
"7.5.2022","05:42","20:34","14:52"
"8.5.2022","05:40","20:36","14:55"
"9.5.2022","05:39","20:37","14:58"
"10.5.2022","05:37","20:39","15:01"
"11.5.2022","05:36","20:40","15:04"
"12.5.2022","05:34","20:41","15:06"
"13.5.2022","05:33","20:43","15:09"
"14.5.2022","05:32","20:44","15:12"
"15.5.2022","05:30","20:45","15:15"
"16.5.2022","05:29","20:47","15:17"
"17.5.2022","05:28","20:48","15:20"
"18.5.2022","05:26","20:49","15:22"
"19.5.2022","05:25","20:51","15:25"
"20.5.2022","05:24","20:52","15:27"
"21.5.2022","05:23","20:53","15:30"
"22.5.2022","05:22","20:55","15:32"
"23.5.2022","05:21","20:56","15:34"
"24.5.2022","05:20","20:57","15:37"
"25.5.2022","05:19","20:58","15:39"
"26.5.2022","05:18","20:59","15:41"
"27.5.2022","05:17","21:00","15:43"
"28.5.2022","05:16","21:01","15:45"
"29.5.2022","05:15","21:03","15:47"
"30.5.2022","05:14","21:04","15:49"
"31.5.2022","05:14","21:05","15:51"
"1.6.2022","05:13","21:06","15:52"
"2.6.2022","05:12","21:07","15:54"
"3.6.2022","05:12","21:07","15:55"
"4.6.2022","05:11","21:08","15:57"
"5.6.2022","05:10","21:09","15:58"
"6.6.2022","05:10","21:10","16:00"
"7.6.2022","05:10","21:11","16:01"
"8.6.2022","05:09","21:12","16:02"
"9.6.2022","05:09","21:12","16:03"
"10.6.2022","05:08","21:13","16:04"
"11.6.2022","05:08","21:14","16:05"
"12.6.2022","05:08","21:14","16:06"
"13.6.2022","05:08","21:15","16:07"
"14.6.2022","05:08","21:15","16:07"
"15.6.2022","05:08","21:16","16:08"
"16.6.2022","05:08","21:16","16:08"
"17.6.2022","05:08","21:17","16:09"
"18.6.2022","05:08","21:17","16:09"
"19.6.2022","05:08","21:17","16:09"
"20.6.2022","05:08","21:18","16:09"
"21.6.2022","05:08","21:18","16:09"
"22.6.2022","05:08","21:18","16:09"
"23.6.2022","05:09","21:18","16:09"
"24.6.2022","05:09","21:18","16:09"
"25.6.2022","05:09","21:18","16:09"
"26.6.2022","05:10","21:18","16:08"
"27.6.2022","05:10","21:18","16:08"
"28.6.2022","05:11","21:18","16:07"
"29.6.2022","05:11","21:18","16:06"
"30.6.2022","05:12","21:18","16:06"
